ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
785,Modular Certificate in Understanding Health Across Lifespan,"This Modular Certificate consists of the following modules:
- Health Psychology
- Sociology of Health and Social Care 
- Biopsychosocial Aspects of Ageing 
- Active Ageing 
- Project on Health Across Lifespan / OJT",Republic Polytechnic,5094,0,Part Time,1-3 months,180,151,63,4.1,2023
786,Modular Certificate in Diagnostic Clinical Chemistry,"This MC consists of the following modules:
Biochemistry
Analytical Biochemistry for Clinical Sciences
Clinical Chemistry and Instrumentation",Republic Polytechnic,5094,0,Part Time,1-3 months,180,83,33,4,2023
787,Care Assistance (Basic Care Attendant),"This WSQ Care Assistance course is tailored to equip family members, domestic helpers and those who intend to become professional Basic Care Attendants, Caregivers and Healthcare Assistance. Through classroom interactive teaching, practice and assessment, participants can gain fundamental caregiving knowledge and skillsets to provide care and comfort to the care recipient without compromising safety.",Singapore Rescue Training Centre Pte. Ltd.,500,250,Part time,3-5 days,24,142,96,4.2,2023
788,Wound Management in Nursing (Classroom and Synchronous),"1.	Relate the basic anatomy and physiology of integumentary system to process of wound healing.
2.	Discuss the types and classification of wounds and the factors which delay/complicate wound healing.
3.	Select appropriate wound products for simple wound dressing by adhering to the principles of aseptic technique and assist in stoma care drainage of pouch.
4.	Assist in the preparation, performance of wound dressing and post procedure process according to standard operating procedures and infection control practice and prevention guidelines",Hmi Institute Of Health Sciences Pte. Ltd.,425,212.5,Full Time,3-5 days,17,182,150,4.3,2023
789,Post-Diploma Certificate in Principles and Science of Medical-Surgical Nursing (part of Advanced Diploma in Nursing (Medical-Surgical)),"Post-Diploma Certificate in Principles and Science of Medical-Surgical Nursing (PDC1 of Advanced Diploma in Nursing (Medical-Surgical)) aims to prepare the learners in the following:

1.  study key concepts in pharmacology which will form the foundation to understanding the rationale for pharmacological management of clients with complex health problems.
2.  develop skills and knowledge in history taking and physical examination by integrating assessment findings to make appropriate clinical decisions.
3.  apply appropriate evidence-based therapeutic regimes and individualized nursing interventions to clients who are experiencing potential/actual life-threatening conditions, or undergoing surgery for different types of cardiovascular disorders. 
4.  apply appropriate evidence-based therapeutic regimes and individualized nursing interventions to clients who are experiencing potential/actual life-threatening conditions, or undergoing surgery for different types of respiratory and neurological disorders.",Nanyang Polytechnic,4788,0,Part Time,1-3 months,210,146,167,4.1,2023
790,Basic Support Care Training,#NAME?,Ntuc Learninghub Pte. Ltd.,1100,550,Part Time,6 days - 1 month,40,818,647,4.5,2023
791,ABCs of Caregiving Set A (for Walking Seniors)?(Home-Based),This course covers all the ABC’s needed to care for elderly who can get around on their own or with walking aids.,Aaxonn Pte. Ltd.,220,0,Part time,1-2 days,3,,,,2024
792,Managing Family Relationships in Caregiving?(Home-Based),"How to manage relationships between caregiver and family members in expectations, support mentally and financially and conflicts.",Aaxonn Pte. Ltd.,220,0,Full Time,1-2 days,2,,,,2024
793,Self-Care for Caregivers?(Home-Based),This course is for caregivers to demonstrate self care and learn strategies on self-care,Aaxonn Pte. Ltd.,220,0,Full Time,1-2 days,2,,,,2024
794,Self-Care for Caregivers,This course is for caregivers to demonstrate self care and learn strategies on self-care,Aaxonn Pte. Ltd.,220,0,Full Time,1-2 days,4,,,,2024
795,ABCs of Caregiving Set A (for Walking Seniors),This course covers all the ABC’s needed to care for elderly who can get around on their own or with walking aids.,Aaxonn Pte. Ltd.,220,0,Full Time,1-2 days,8,,,,2024
796,Caring for Persons with Dementia (Home-Based),This course provides family caregivers and domestic helpers with basic knowledge of dementia and various intervention strategies and treatments available. Caregivers will also learn some fundamental skills to help manage day to day care of someone with dementia as well as the various support resources available.,Aaxonn Pte. Ltd.,220,0,Full Time and Part Time,1-2 days,2,,,,2024
797,Stroke Management for Caregivers?(Home-Based),This course for caregivers to care for elderly with Stroke.,Aaxonn Pte. Ltd.,220,0,Full Time and Part Time,1-2 days,2,,,,2024
798,ABCs of Caregiving Set B (for Bedbound Seniors)?(Home-Based),This course covers all the ABC’s needed to care for Bed Bound seniors.,Aaxonn Pte. Ltd.,220,0,Full Time and Part Time,1-2 days,3,,,,2024
799,ABCs of Caregiving Set C (for Wheelchair Seniors)?(Home-Based),This course covers all the ABC’s needed to care for elderly who use Wheelchair or supported mobility devices,Aaxonn Pte. Ltd.,220,0,Full Time and Part Time,1-2 days,3,,,,2024
800,Managing Family Relationships in Caregiving,"How to manage relationships between caregiver and family members in expectations, support mentally and financially and conflicts.",Aaxonn Pte. Ltd.,220,0,Full Time and Part Time,1-2 days,4,,,,2024
801,Stroke Management for Caregivers,This course for caregivers to care for elderly with Stroke.,Aaxonn Pte. Ltd.,220,0,Full Time and Part Time,1-2 days,6,,,,2024
802,Caring for Persons with Dementia,This course provides family caregivers and domestic helpers with basic knowledge of dementia and various intervention strategies and treatments available. Caregivers will also learn some fundamental skills to help manage day to day care of someone with dementia as well as the various support resources available.,Aaxonn Pte. Ltd.,220,0,Full Time and Part Time,1-2 days,8,,,,2024
803,ABCs of Caregiving Set B (for Bedbound Seniors),This course covers all the ABC’s needed to care for Bed Bound seniors.,Aaxonn Pte. Ltd.,220,0,Full Time and Part Time,1-2 days,8,,,,2024
804,ABCs of Caregiving Set C (for Wheelchair Seniors),This course covers all the ABC’s needed to care for elderly who use Wheelchair or supported mobility devices,Aaxonn Pte. Ltd.,220,0,Full Time and Part Time,1-2 days,8,,,,2024
805,Managing Family Relationships in Caregiving?(Online),"How to manage relationships between caregiver and family members in expectations, support mentally and financially and conflicts.",Aaxonn Pte. Ltd.,220,0,Part Time,1-2 days,4,,,,2024
806,Self-Care for Caregivers (Online),This course is for caregivers to demonstrate self care and learn strategies on self-care,Aaxonn Pte. Ltd.,220,0,Part Time,1-2 days,4,,,,2024
