ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
1437,Health Management of Chronic Diseases 101 (Asynchronous e-learning),"Health Management in Chronic Diseases 101 is an introductory self-paced e-learning course designed for the general public, focusing on three common chronic diseases in Singapore: Diabetes, Hypertension, and Chronic Kidney Disease (CKD). This course aims to provide participants with basic essential knowledge about these conditions, covering their causes, symptoms, and effective management strategies, including both medical and lifestyle approaches.",Republic Polytechnic,55,16.5,Part time,3-5 days,22,,,,2024
1438,Principles and Practices of Laboratory Biosafety,"This course provides a comprehensive overview of essential laboratory safety and procedures in the fields of biochemistry, hematology, and blood banking. Participants will gain a solid understanding of the principles, techniques, and applications involved in clinical diagnostics and laboratory management.",Republic Polytechnic,700,210,Part time,3-5 days,16,,,,2024
1439,Basic Principles of Medical Laboratory Services,"This course provides a comprehensive overview of essential laboratory safety and procedures in the fields of biochemistry, hematology, and blood banking. Participants will gain a solid understanding of the principles, techniques, and applications involved in clinical diagnostics and laboratory management.",Republic Polytechnic,700,210,Full Time and Part Time,3-5 days,16,,,,2024
1440,Basic Cardiac Life Support + Automated External Defibrillator (Asynchronous and Practical),"Understand Common Cardiovascular Issues and Emergency Response Plans
Perform Cardio-Pulmonary Resuscitation (CPR) on Adult, Children and Infant 
Safely use an Automated External Defibrillator on Adult Children and Infant 
Perform Conscious Foreign Body Airway Obstruction (FBAO) techniques on Adult, Children and Infant 
Perform Unconscious Foreign Body Airway Obstruction (FBAO) techniques Adult, Children and Infant",Rolling Pineapple Pte. Ltd.,150,75,Part time,1-2 days,7,80,26,4.3,2024
1441,A Caregiver’s Guide to Basic Wound Management,This course aims to train caregivers with the basic knowledge and skills on how to manage skin conditions and/or wounds.,"Salvation Army, The",183.49,0,Full Time and Part Time,1-2 days,3,,,,2024
1442,A Caregiver’s Guide to Dementia,"Upon completing the course, caregivers will be able to have a basic understanding of Dementia, identify unmet needs, and manage behaviours of concern in persons living with Dementia. This course aims to train caregivers to provide person centred care to persons living with dementia in the community.","Salvation Army, The",229.36,0,Full Time and Part Time,1-2 days,8,,,,2024
1443,A Caregiver’s Guide to the Palliative Care Approach,This course aims to provide caregivers with an understanding of the palliative care approach and the knowledge to provide person-centred care to individuals living with life-limiting conditions.,"Salvation Army, The",229.36,0,Full Time and Part Time,1-2 days,8,,,,2024
1444,Caregiver’s Training,"This course aims to train caregivers with the knowledge on how to provide safe, quality home care, as well as managing their expectation for taking care of their seniors.","Salvation Army, The",229.36,0,Full Time and Part Time,1-2 days,8,,,,2024
1445,A Family Caregivers Toolkit: Dementia Literacy,"This course is an introduction to the topic of dementia. It is designed to increase understanding of dementia in the community, enabling participants to recognise and assist persons living with dementia. It provides the participants with the knowledge and skills required to promote social inclusion of persons living with dementia in a dementia friendly environment.","Salvation Army, The",275.23,0,Full Time and Part Time,1-2 days,8,,,,2024
1446,A Family Caregivers Toolkit: The Palliative Care Approach,This course is an introduction to the Palliative Care Approach. Learners will develop an understanding of the difficulties faced talking about death and how to provide needs-based care to persons with life-limiting illnesses. They will also be made aware of the resources available for Palliative Care.,"Salvation Army, The",275.23,0,Full Time and Part Time,1-2 days,8,,,,2024
1447,Basic Eldercare,"This course aims to train caregivers with the knowledge and skills to provide safe, home personal care and support care recipients in activities of daily living.","Salvation Army, The",366.97,0,Full Time and Part Time,3-5 days,16,,,,2024
1448,Lecture Series on TCM management for Spondylopathies [For registered TCM practitioners only],"[TCM practitioners should confirm with the training provider to ensure that the course is accredited CPE points by TCMPB before signing up.]

This course aims to equip TCMPs with the necessary knowledge to improve diagnosis and management of spine conditions.",SCTCM,252,0,Part Time,1-2 days,12,8,3,4,2024
1449,TCM Lecture Series on Acupuncture [For registered TCM practitioners only],"[TCM practitioners should confirm with the training provider to ensure that the course is accredited CPE points by TCMPB before signing up.]

This course aims to equip TCMPs with the necessary knowledge to improve the clinical management of refractory Bell's palsy, pain conditions and cervical spondylosis using acupuncture techniques such as spirit-regulating acupuncture (Tiao Shen Zhen Fa) and Qi-manipulating (Dao Qi Tong Jing) needling techniques.",SCTCM,168,0,Part Time,1-2 days,8,81,38,4.3,2024
1450,Hematological System Series [For registered TCM practitioners only],"[TCM practitioners should confirm with the training provider to ensure that the course is accredited CPE points by TCMPB before signing up.]
This course will describe the anatomy, physiology and pathology of the hematological system so as to equip TCMPs with the necessary knowledge to complement TCM diagnosis and treatment.",SCTCM,99,0,Part Time,1-2 days,9,12,5,5,2024
1451,Truths and Myths about Palliative Care,"Underpinning Knowledge
1.	Define the term ‘Palliative care’ 
2.	Explain what end-of-life and palliative care actually means and compare the two
3.	Recognise who needs Palliative Care 
Attitude 
4.	Discuss who best delivers palliative care
5.	Uncover truths and myths about Palliative Care 

Skills
6.	Discuss the holistic aspect of caregiving and outline the key stages
7.	Demonstrate the duties that need to be carried out by the caregiver for palliative care recipients
8.	Discuss strategies to ensure proper care planning and routine for palliative care recipients",Silver Caregivers Co-Operative Limited,150,0,Part time,1-2 days,3,,,,2024
1452,Coping with Depression for Caregivers (Online),Participants would understand 1. What is depression and its symptoms 2. Treatment alternatives for depression 3. Ways to support someone with depression 4. How to help themselves if they are depressed,Silver Caregivers Co-Operative Limited,150,0,Part time,1-2 days,3,,,,2024
1453,Coping with Depression for Caregivers,Participants would understand 1. What is depression and its symptoms 2. Treatment alternatives for depression 3. Ways to support someone with depression 4. How to help themselves if they are depressed,Silver Caregivers Co-Operative Limited,150,0,Part time,1-2 days,3,,,,2024
1454,Coping with Grief for Caregivers,"1. Participants comprehend grief and loss, common grief reactions, types of grief 2. Understand the stages of grieving process 3. Through the group inter-action, participants learn ways to cope with grief as well as how to support a grieving person 4. Identify when professional help is required for a grieving individual",Silver Caregivers Co-Operative Limited,150,0,Part time,1-2 days,3,,,,2024
1455,Coping with Grief for Caregivers (Online),"1. Participants comprehend grief and loss, common grief reactions, types of grief 2. Understand the stages of grieving process 3. Through the group inter-action, participants learn ways to cope with grief as well as how to support a grieving person 4. Identify when professional help is required for a grieving individual",Silver Caregivers Co-Operative Limited,150,0,Part time,1-2 days,3,,,,2024
1456,Effective Communication Skills for Caregivers,1. Equip caregivers with effective communication skills with related individuals so that the caregiving journey is improved 2. Enable caregivers to improve their listening and communication skills bearing in mind the age-related changes in care recipient,Silver Caregivers Co-Operative Limited,150,0,Full Time and Part Time,1-2 days,3,,,,2024
1457,Effective Communication Skills for Caregivers (Online),1. Equip caregivers with effective communication skills with related individuals so that the caregiving journey is improved 2. Enable caregivers to improve their listening and communication skills bearing in mind the age-related changes in care recipient,Silver Caregivers Co-Operative Limited,150,0,Full Time and Part Time,1-2 days,3,,,,2024
1458,Focus on Bereavement and Forgiveness for Caregiver Resilience,"Underpinning Knowledge
•Take time to build self knowledge and awareness during a bereavement process 
•Be responsive to one self during a bereavement journey
Attitude
•Recognise the importance of forgiveness
•Respect and acknowledge the different feelings and emotions felt during a bereavement process

Skills
•Address underlying causes and reasons on why it becomes challenging to forgive oneself
•Explore consequences and what might happen if one fails to forgive oneself
•Resolve how to forgive oneself using a Recovery Forgiveness Cycle
•Find resolution/closure to move forward",Silver Caregivers Co-Operative Limited,150,0,Full Time and Part Time,1-2 days,3,,,,2024
1459,Focus on caregivers providing Parkinson’s Care,"Underpinning Knowledge
1.	Define Parkinson’s Disease (PD)
2.	Explain the pathophysiology of PD 
3.	Recognise signs and symptoms of PD

Attitude 
4.	Understand truths and myths of PD
5.	Discuss how to manage the different stages of PD
6.	Understand importance of self-care
Skills
7.	Learn basic skills of PD management
8.	Learn falls management strategies for PD
9.	Demonstrate basic exercises for persons with PD
10.	Discuss the holistic aspect of caregiving of persons with PD 
11.	Share community resources which persons with PD and their caregivers can tap on",Silver Caregivers Co-Operative Limited,200,0,Full Time and Part Time,1-2 days,3,,,,2024
1460,Practising Empathy in Caregiving,"1. Understand the caregiving role, tasks and responsibilities  
2. Obtain clarity on the meaning of empathy and why it important in a caring relationship 
3. Learn about self-care and actively engage in activities to improve physical, mental and emotional well-being
4. Understand and accept care recipient’s ageing process, and apply techniques to improve relationship",Silver Caregivers Co-Operative Limited,150,0,Full Time and Part Time,1-2 days,3,,,,2024
1461,Practising Empathy in Caregiving (Online),"1. Understand the caregiving role, tasks and responsibilities  
2. Obtain clarity on the meaning of empathy and why it important in a caring relationship 
3. Learn about self-care and actively engage in activities to improve physical, mental and emotional well-being
4. Understand and accept care recipient’s ageing process, and apply techniques to improve relationship",Silver Caregivers Co-Operative Limited,150,0,Full Time and Part Time,1-2 days,3,,,,2024
1462,Specialized Communication Skills in Palliative Care,"Underpinning Knowledge
•	Build self-awareness to learn about one’s strengths and limitations when communicating with palliative care recipients 
Attitude
•	Be responsive to the feelings and needs of palliative care recipients
Skills
•	Demonstrate empathy when dealing with palliative care recipients 
•	Apply the appropriate communication model/technique when communicating with palliative care recipients
•	Be able to invite a two-way meaningful dialogue that builds trust with palliative care recipients
•	Be able to handle and respond to sensitive questions asked by palliative care recipients and/or family members",Silver Caregivers Co-Operative Limited,200,0,Full Time and Part Time,1-2 days,3,,,,2024
1463,Chinese Materia Medica and its Clinical Applications (Part 1),This course aims to equip one with the necessary knowledge about a simple human physiological model and how a human may fall ill from the perspective of TCM. It will also equip one with knowledge about some common theories in relation to the herbs and medicine and their applications.,Singapore College Of Traditional Chinese Medicine Limited,132,0,Part Time,1-2 days,12,31,17,3.5,2024
1464,Certificate in TCM Assistant (Chinese),"The objectives:
1. To train clinical assistants for better understanding in TCM. 
2. To acquire the skill and technique of massage.
3. To learn TCM Nutrition and Dietetics for self-awareness and knowledge in Traditional Chinese Medicine to initiate healthy lifestyles.
4. To manage the TCM clinics effectively for better service to the general public.",Singapore College Of Traditional Chinese Medicine Limited,6823.19,0,Full Time and Part Time,3-12 months,604,16,,,2024
1465,Chinese Materia Medica and its Clinical Applications (Part 2),"This course aims to equip one with the necessary knowledge about more advanced human physiological models that will eventually lead one to understand one's TCM body constitution. It also aims to equip one with knowledge about TCM herbs and their specific uses that are suitable for each body constitution, as well as general principles on the formulation of herbal decoctions.",Singapore College Of Traditional Chinese Medicine Limited,132,0,Part Time,1-2 days,12,,,,2024
1466,Certificate in TCM Assistant,"The objectives:
1. To train clinical assistants for better understanding in TCM. 
2. To acquire the skill and technique of massage.
3. To learn TCM Nutrition and Dietetics for self-awareness and knowledge in Traditional Chinese Medicine to initiate healthy lifestyles.
4. To manage the TCM clinics effectively for better service to the general public.",Singapore College Of Traditional Chinese Medicine Limited,6823.19,0,Part Time,3-12 months,604,7,,,2024
1467,Child First Aid (Refresher) (Asynchronous e-learning),The aim of the course is to provide relevant knowledge and skills in rendering first aid treatment to a child or infant during any emergency at the childcare or pre-school centres.,Singapore Emergency Responder Academy,180,90,Full Time and Part Time,3-5 days,16,,,,2024
1468,Child First Aid (Asynchronous e-learning),The aim of the course is to provide relevant knowledge and skills in rendering first aid treatment to a child or infant during any emergency at the childcare or pre-school centres.,Singapore Emergency Responder Academy,198,99,Full Time and Part Time,3-5 days,20,,,,2024
1469,"Advanced Clinical Exercise Physiotherapy for Metabolic, Cardiovascular, Pulmonary and Oncologic Diseases","The Advanced Clinical Exercise Testing and Prescription training course consists of a series of workshops which aim to equip physiotherapists with advanced principles and theories in clinical exercise physiology to understand the impact of exercise or activity on the human physiological system in specialised populations. Each workshop is designed to be standalone, covering a specific group of disease populations. 
This “Advanced Clinical Exercise Physiotherapy for Metabolic, Cardiovascular, Pulmonary &amp; Oncologic Diseases workshop” focuses on the development of effective management and prevention strategies, for metabolic, oncologic, cardiovascular and pulmonary diseases through exercise, lifestyle, and behaviour modifications. It builds on the understanding of exercise physiology and clinical exercise prescription knowledge acquired from the intermediate workshop (insert title) and    is suitable for those with a minimum of 3 years of working experience in physiotherapy with some experience in cardiopulmonary, musculoskeletal and/or geriatrics/neurological rehabilitation.  
The course will discuss the application of the current concepts to assessing and managing cardiovascular and pulmonary diseases, helping to deepen the understanding of physiological responses to exercise in individuals with chronic conditions. With the programme designed specifically for adult learners, the learning of in-depth and clinically relevant topics is achieved through the blended learning approach via self-directed learning (SDL), flipped classroom, team-based learning (TBL), problem-based learning (PBL), discussion seminar and practicum. The course will include analysis and critical appraisal of the supporting theory and available evidence, along with clinical reasoning for applying assessment and techniques in managing patients with cardiovascular and pulmonary diseases.",Singapore Institute Of Technology,4200,1260,Full Time,3-5 days,25,15,5,3.8,2024
1470,Actions for Healthcare Sustainability 101,"It is highly beneficial for individuals who play sustainability-related role to possess actionable knowledge and skillsets needed to make measurable advancement towards a green economy. 

This one-day course introduces a holistic and deeper understanding of sustainability, in terms of the current global context and the essential measurement and management techniques that are critical for the green transition. The course is designed for the healthcare sector, and it will cover the relationships of each sustainability concept to the healthcare sector. The learning will be scaffolded over the course, and by the end, an ‘action plan’ for each learner will be shaped by consolidating and applying the learning through a project. 

Upon successful completion of this course, learners should possess the knowledge and skillsets that allow them to start making measurable contribution to the green agenda. Learners will bring back a shared motivation, language and toolset for collaborative work.",Singapore Institute Of Technology,1200,360,Part Time,1-2 days,8,17,13,4.2,2024
1471,Inter-professional Workshop on Cognitive Rehabilitation for Persons with Cognitive-Perceptual Dysfunction (Synchronous e-Learning),"This two-day introductory workshop is targeted at occupational therapists, nurse clinicians and other allied health professionals who are working with cognitive-perceptual issues seen in persons with a range of neurological and psychiatric conditions. The aim is to equip healthcare professionals with interdisciplinary knowledge and skills in basic cognitive-perceptual assessments, as well as intervention strategies.",Singapore Institute Of Technology,2000,600,Part time,3-5 days,18,46,38,4.5,2024
1472,Functional Fitness Screening and Falls Efficacy Prescription for Older Adults (Classroom & Asynchronous e-Learning),"This course educates participants on the importance of physical activity for older adults and the key fitness components needed for functional fitness. It also covers falls efficacy, equipping participants with the skills to help older adults build confidence, manage fall risks, and maintain greater independence.",Singapore Institute Of Technology,2000,600,Part time,3-5 days,16,,,,2024
1473,Interprofessional Low Vision Rehabilitation: Basic Foundations,"This customised basic low vision rehabilitation course provides occupational therapists, physiotherapists and registered nurses with basic knowledge and skills to manage patients with low vision. It will provide additional best practice knowledge for low vision beyond pre-registration professional education. 

Participants will apply visual assessments to identify basic problems in vision limiting daily activities, and develop basic management strategies around visual skills, environmental modifications, functional mobility training and assistive technology devices. Participants will also develop skills to support their patients with visual impairment in psychosocial adjustment and seek resources to better manage the needs of such patients.",Singapore Institute Of Technology,2000,600,Part time,3-5 days,16,,,,2024
1474,"PTY6202 Advanced Musculoskeletal Practice 2 (Classroom, Synchronous & Asynchronous)","The course is designed for musculoskeletal physiotherapy practitioners who wish to advance practical and reasoning skills used in an established musculoskeletal setting, such as outpatient clinics in hospitals or polyclinics, or a nascent setting, such as community rehabilitation centres.",Singapore Institute Of Technology,4100,1230,Part time,6 days - 1 month,46,,,,2024
1475,Intermediate Clinical Exercise Testing and Prescription,"This course aims to equip physiotherapists with principles in clinical exercise physiology to understand the impact of exercise or activity on the human physiological system. For the effective management and prevention of chronic non-communicable diseases (NCDs) through modifications of exercise, lifestyle, and behaviours. This course aims to build on the understanding of exercise physiology and clinical exercise prescription knowledge acquired from the entry-level physiotherapy training and is appropriate for early-career physiotherapists with two (2) to three (3) years of post-registration experience. It will enrich the application of the current concepts to the assessment and management of non-communicable diseases. The course helps to deepen the understanding of physiological responses to exercise in individuals who exercise regularly and those who not. With the programme designed specifically for adult learners, the learning of in-depth and clinically relevant topics is achieved through the blended learning approach via self-directed learning (SDL), flipped classroom, team-based learning (TBL), problem-based learning (PBL), discussion seminar and practicum.  The course will include analysis and critical appraisal of the supporting theory and available evidence along with clinical reasoning for practical application of assessment and management techniques In the management of patients with NCDs and other co-morbidities.",Singapore Institute Of Technology,4500,1350,Part time,6 days - 1 month,40,,,,2024
1476,Clinical Reasoning in Assessment and Therapy Planning for Older Persons with Dysphagia - Basic,"This two day basic introductory workshop is targeted at speech-language therapists working with older persons with swallowing difficulties across various settings. In this workshop, participants will be equipped with the knowledge and skills to apply clinical reasoning in information gathering, assessment, and management of swallowing difficulties in the geriatric population. 

The workshop is designed in 2 parts, and participants may choose to attend this workshop only, or choose to extend their learning at the intermediate level workshop. In this workshop, participants will acquire knowledge and skills required to apply clinical reasoning to case-based discussions of older persons with swallowing difficulties.

Speakers include practicing speech-language therapists, and academic faculty.",Singapore Institute Of Technology,2000,600,Part time,1-2 days,14,,,,2024
1477,Clinical Reasoning in Assessment and Therapy Planning for Older Persons with Dysphagia - Intermediate (Classroom & Asynchronous e-Learning),"This two day workshop builds upon the earlier workshop ""Clinical Reasoning in Assessment and Therapy Planning for Older Persons with Dysphagia - Basic"". It is targeted at speech-language therapists working with older persons with swallowing difficulties across various settings. In this workshop, participants will be equipped with the knowledge and skills to apply clinical reasoning in information gathering, assessment, and management of swallowing difficulties in the geriatric population. 

In this workshop, participants will demonstrate their ability to show their clinical reasoning skills in both case discussions and simulated patient scenarios and peer discussions/presentations. 

Speakers include practicing speech-language therapists, and academic faculty.",Singapore Institute Of Technology,2500,750,Part time,3-5 days,18,,,,2024
1478,Defusing Difficult Situations,"Diffusing Difficult Situations is meticulously designed to address the complexities of conflict within healthcare settings. It begins with an introduction to the essence of conflict and its significance, followed by an exploration of various conflict styles, helping participants understand their own approaches as well as those of others. The course delves into the cognitive, emotional, and behavioral skills that are pivotal for resolving conflicts effectively. Participants will have the opportunity to apply these skills through real-life scenarios, ensuring they are well-prepared to handle actual cases in their professional environment. The workshop culminates with a conclusion that encapsulates the key takeaways and outlines actionable steps for attendees. By the end of this program, healthcare professionals will be adept at recognizing the sources and ramifications of conflict, identifying and applying different conflict styles and preferences, executing conflict resolution and management strategies in diverse situations, conducting crucial conversations with patients and their families, and ultimately enhancing teamwork, productivity, and satisfaction for both patients and employees. This holistic approach ensures that participants not only understand the theoretical aspects of conflict resolution but also are equipped to apply these strategies practically, fostering a harmonious and efficient workplace.",Singapore Institute Of Technology,1200,360,Part time,1-2 days,8,,,,2024
1479,Cognitive Rehabilitation for Occupational Therapists (Synchronous e-Learning),"This three-day introductory workshop is a continuation of the two-day inter-professional primer on cognitive rehabilitation and focuses on knowledge and skills supporting occupational therapy practice for cognitive-perceptual issues seen in persons with a range of neurological and psychiatric conditions. The aim is to provide occupational therapists with the knowledge and skills in occupational therapy centric cognitive-perceptual assessments, problem identification, goal setting and intervention plans.

The objectives of the workshop are to equip occupational therapists with the knowledge and skills in the following areas:

1. Occupation-focused models and approaches in cognitive and perceptual dysfunctions.
2. Occupational Therapy assessments for cognitive and perceptual problems.
3. Problem identification and goal setting for cognitive perceptual issues.
4. Occupational Therapy intervention strategies and plans for management of cognitive-perceptual problems.",Singapore Institute Of Technology,2800,840,Part time,3-5 days,27,,,,2024
1480,"Healthcare Innovation and Start-ups by Biodesign (Classroom, Synchronous & Asynchronous E-Learning)","1. Classify Healthcare Innovation and understanding customers 
2. Identify the Right Business Model  
3. Examine Prototyping Possibilities 
4. Understand more about Intellectual Property (IP), Regulatory Approval, Market Access &amp; Stakeholders Analysis 
5. How to create alignment and raise funds",Singapore Institute Of Technology,5400,1620,Full Time,6 days - 1 month,36,,,,2024
1481,Bachelor of Science in Nursing,https://www.singaporetech.edu.sg/,Singapore Institute Of Technology,104760,0,Full Time,More than 1 year,1800,,,,2024
1482,"NUR6106 Specialty Organ Transplant Nursing I (Classroom, Synchronous & Asynchronous)","Specialty Organ Transplant Nursing I is a specialised nursing care that focused on protection, promotion and optimization of the health and abilities of both the transplant recipients and the living donors across the life span. This care includes prevention, detection and treatment of illness and injury related to diseases treated by solid organ transplantation, and disease that may result from living donor donation in individuals, families, communities and population of all ages.",Singapore Institute Of Technology,4100,1230,Full Time and Part Time,6 days - 1 month,40.5,,,,2024
1483,"NUR6104 Leadership in Rehabilitation Nursing (Classroom, Synchronous & Asynchronous)","This module is designed to empower students to develop the knowledge, skills, and attitudes required for successful leadership and the implementation of sustainable change management strategies, in order to shape and manage evolving, complex, and diverse health and social care services.",Singapore Institute Of Technology,4100,1230,Full Time and Part Time,6 days - 1 month,42,,,,2024
1484,Master of Health Sciences,https://www.singaporetech.edu.sg/,Singapore Institute Of Technology,37620,0,Full Time and Part Time,3-12 months,600,,,,2024
1485,Internationalisation Series: Smart Business and Healthcare - Japan,"As a super-aged society, Japan holds many useful lessons for Singapore, as Singapore aspires to become a healthier Blue Zone 3.0 state. Japan has confronted many social issues, including a declining birth rate, a super-aged population (30% population above 65 years old), social inequality and social isolation, while experiencing a paradigm shift in its values, culture, and economy, including changes in lifestyles, increased employment of foreigners, and advancements in Information Technology (IT). 

These challenges and opportunities led to the establishment of the Japanese Digital Agency in Sep 2021 to maximize use of digital technology through regulatory and administrative reforms in healthcare. Significant progress was made since 2022 in various digital health areas, such as expansion of remote medical care, increase in healthcare-related apps, and the utilisation of healthcare data and the metaverse to improve care quality and value.",Singapore Management University,9000,2700,Part time,6 days - 1 month,48,61,39,4.6,2024
1486,SMU-SingHealth Graduate Diploma in Healthcare Management and Leadership (GDHM),"Upon successful completion of the programme, participants will be able to: 
 
- Acquire an overview of the global healthcare landscape
- Explain and compare strategies that are employed by Singapore’s healthcare institutions vis a vis other international healthcare institutions
- Lead self and teams with mindfulness and confidence 
- Formulate an action plan for change
- Apply marketing and branding concepts to raise customers / stakeholders’ satisfaction
- Apply economic and financial analysis to healthcare services
- Implement an operations improvement project
- Apply tools to manage and communicate information in a crisis",Singapore Management University,24194,0,Part Time,1-3 months,180,,,,2024
1487,SMA Clinic Assistant Introductory Skills Course,#NAME?,Singapore Medical Association Pte Ltd,780,0,Full Time and Part Time,3-5 days,24,2,,,2024
1488,Geriatric Care Excellence: Enhancing Quality of Life in an Ageing Society,The course is designed to equip participants with a framework to support aging-in-place initiatives within the community to optimise health outcomes and enhance quality of life in the aging population while preparing seniors for end-of-life planning ethically.,Singapore Polytechnic,1690,507,Part time,3-5 days,33,,,,2024
1489,Hands-on Orthokeratology Workshop for Optometrists,"The Orthokeratology course is designed to provide a solid foundation and enhance myopia management skills through a combination of theoretical knowledge, case-based discussions, and hands-on practical experience in Orthokeratology lens fits. The workshop is aimed for Optometrists &amp; Opticians Board (OOB) registered Optometrists.",Singapore Polytechnic,310,93,Part Time,1-2 days,7.5,,,,2024
1490,Certificate of Performance in Optics,The course is designed for new entry opticians. This 3-4 month foundation program includes 4 modules on optics and ocular anatomy with engaging lectures and interactive tutorials.,Singapore Polytechnic,2100,630,Part Time,6 days - 1 month,105,23,,,2024
1491,Certificate of Performance in Dispensing,"The course is designed for new entry opticians to equip learners with the knowledge and skills required for dispensing. It consists of engaging lectures, tutorials, and hands-on practical sessions, including an industry attachment to provide with real-world experience. Through the comprehensive program, learners will gain expertise in dispensing and professional ethics.",Singapore Polytechnic,5800,1740,Part Time,6 days - 1 month,120,17,,,2024
1492,Certificate of Performance in Refraction,"This course is designed to provide participants with the necessary knowledge and practical skills required to excel in the field of Refraction. Through a blend of engaging lectures, hands-on tutorials, practical sessions, and industry attachment, participants will complete three modules and gain a deep understanding of the fundamental concepts of refraction.",Singapore Polytechnic,5000,1500,Part Time,6 days - 1 month,135,,,,2024
1493,Caring Guide for Seniors,"This course aims to equip caregivers and home partners with the knowledge and skills necessary to provide effective support and assistance to the elderly. Participants will learn about age-related health issues, emotional well-being, fall prevention, and how to assist seniors with mobility aids while adhering to safety guidelines.",Singapore Professionals' And Executives' Co-Operative Ltd,280,0,Full Time and Part Time,1-2 days,7,,,,2024
1494,Enhancing Mental Wellness: A Practical Non-Medical Approach for Caregivers,"To empower participants with skills and knowledge on the importance of being positive, motivated and be self-disciplined. To equip learners with techniques on how to manage challenges and see things in a difference perspective.",Singapore Professionals' And Executives' Co-Operative Ltd,280,0,Part Time,1-2 days,7,,,,2024
1495,Caregiver Training for Asthma & Chronic Obstructive Pulmonary Disease,The Caregiver Training for Asthma &amp; Chronic Obstructive Pulmonary Disease (COPD) is designed to educate caregivers on the essentials for caring for individuals with Asthma &amp; Chronic Obstructive Pulmonary Disease (COPD).,Singapore Red Cross Society,150,0,Part time,1-2 days,4,,,,2024
1496,Principles & Ethics in Caregiving,This training provides the basic knowledge of the principle and ethics of caregiving to guide caregivers in providing the appropriate care based on the best interest and well-being of the care recipient.,Singapore Red Cross Society,100,0,Part time,1-2 days,4,,,,2024
1497,Caregiver Training for Diabetes,The Caregiver Training for Diabetes is designed to educate caregivers on the essentials for caring for individuals with diabetes.,Singapore Red Cross Society,150,0,Full Time,1-2 days,4,,,,2024
1498,Caregiver Training for Stroke,The Caregiver Training for Stroke is designed to educate caregivers on the essentials for caring for individuals with stroke.,Singapore Red Cross Society,150,0,Full Time,1-2 days,4,,,,2024
1499,WSQ Feeding Management,"This course is designed to provide learners with practical knowledge on feeding individuals who have specific dietary needs due to swallowing difficulties. Emphasis will be placed on understanding the mechanics of safe feeding, modifying food textures, and ensuring the well-being of individuals at risk of choking or aspiration. Whether caring for patients, elderly family members, or children with special needs, learners will gain valuable insights into enhancing safety and comfort during mealtime.",Singapore Rescue Training Centre Pte. Ltd.,320,160,Part time,1-2 days,8,89,83,4.5,2024
1500,Caregiver Training Certification (Basic),Participant will be able to provide care and comfort to the care recipient without compromising the safety with knowledge and understanding,Singapore Rescue Training Centre Pte. Ltd.,170,0,Part time,1-2 days,8,537,514,4.5,2024
1501,WSQ Care Assistance (Community Care Associate),"The WSQ Care Assistance (Community Care Associate) course is designed to equip individuals with the necessary skills and knowledge to provide high-quality care in community settings. This course is ideal for those who wish to start a career in community care or enhance their existing caregiving skills.

Participants will engage in hands-on training, practical exercises, and interactive learning sessions to develop a comprehensive understanding of care assistance.",Singapore Rescue Training Centre Pte. Ltd.,300,150,Full Time,1-2 days,8,158,139,4.5,2024
1502,Caregiver Training Certification (Intermediate),"Upon completion of course, participants will be well-equipped with caregiving skills such as nasogastric tube feeding, vital signs monitoring, communication, fall prevention to provide the best long-term care, management and support for their care recipient. Caregivers can become a trusted companion and health aide to look after their care recipient’s emotional and medical needs.",Singapore Rescue Training Centre Pte. Ltd.,280,0,Part time,1-2 days,8,46,46,4.7,2024
1503,Diabetic Care,To equip caregivers with the proper skills to assist Care Recipient with Diabetes with comfort and safety. To help care recipient understand and provide the highest quality and effective care and to promote self-care by the care recipient themselves. Safety of both the caregiver and care receiver will be the top priority.,Singapore Rescue Training Centre Pte. Ltd.,181.8,0,Part time,1-2 days,4,,,,2024
1504,Dementia Care,To equip caregivers with the proper skills to assist Care Recipient with Dementia in the comfort and safety. To help care recipient understand and provide the highest quality and effective care and to promote self-care by the care recipient themselves. Safety of both the caregiver and care receiver will be the top priority.,Singapore Rescue Training Centre Pte. Ltd.,181.8,0,Part time,1-2 days,8,,,,2024
1505,Activities of Daily Living Management (Classroom Based),To equip caregivers with the proper skills to assist Care Recipient with Activities of Daily Living in the comfort and safety of their home. To help care recipient understand and provide the highest quality and effective care and to promote self-care by the care recipient themselves. Safety of both the caregiver and care receiver will be the top priority.,Singapore Rescue Training Centre Pte. Ltd.,181.8,0,Full Time and Part Time,1-2 days,8,,,,2024
1506,Activities of Daily Living Management (Homebased),To equip caregivers with the proper skills to assist Care Recipient with Activities of Daily Living in the comfort and safety of their home. To help care recipient understand and provide the highest quality and effective care and to promote self-care by the care recipient themselves. Safety of both the caregiver and care receiver will be the top priority.,Singapore Rescue Training Centre Pte. Ltd.,181.8,0,Part Time,1-2 days,2,,,,2024
